,Unnamed: 0,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,winner,rating_group
34,2245,Grenade,Deathfox7,1.0,420805.4,609274.9,ERANGEL,2U4GBNA0YmlcJd06MAp1d4Q7M5Yy4PYrahIr2JBT9uhhXk6gHSEcIBPisz7z3coU,1916.0,EagleSS670,2.0,421356.8,606756.1,True,1
44,4972,SCAR-L,PoisonMDT,1.0,281820.9,558720.3,ERANGEL,2U4GBNA0YmkouKU7rw6brk7uZamG1dICaLOLV9MMRULojV9v1Y0ApEjG8568AzL-,1679.0,West7cm,2.0,281676.9,557615.6,True,1
45,1578,Bluezone,,,,,ERANGEL,2U4GBNA0YmloUGIumcTO14gr8rgZVexJO_xpcOj0xMlmhrLlJjOYL4g75Nlf53Hw,1962.0,yamahukin,2.0,243426.2,485718.0,True,1
94,284,SCAR-L,Illmy0111,1.0,180234.1,512721.8,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1854.0,Driftings,2.0,181216.5,513549.2,True,1
147,2495,Down and Out,HiImFrank,1.0,282233.7,475338.4,ERANGEL,2U4GBNA0Yml5t9opndGwDeKjNoARfVrCVQIWxSji9WqktJfXvvA7eZryQpYWuuxM,1824.0,GaryKAI,2.0,271661.3,484678.6,True,1
266,4988,SCAR-L,PoisonMDT,1.0,280472.3,559749.4,ERANGEL,2U4GBNA0YmkouKU7rw6brk7uZamG1dICaLOLV9MMRULojV9v1Y0ApEjG8568AzL-,1783.0,ZXJ5216,2.0,280211.1,559646.4,True,1
282,1092,Down and Out,Toronto_Edision,1.0,320935.6,510978.1,ERANGEL,2U4GBNA0YmnmvI29GR080nJ5U4oZyrJ2kJqz7BeQrwDdx68BbncOZ_5DnysRn2Ca,1767.0,EncoreOnceMore,2.0,318386.9,511889.4,True,1
307,1905,Kar98k,Blesstfup,1.0,658955.3,471802.2,ERANGEL,2U4GBNA0Ymmj5ChhNizFBQNzal-aacFtZr3MhwiNw8qBDJBRobgDHZqOnyiohGR6,1678.0,Aeloh98k,2.0,649633.9,460224.8,True,1
344,1369,M416,iSuK12,1.0,142606.4,452039.6,ERANGEL,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,1967.0,IB_E46M,2.0,144006.2,449925.6,True,1
355,4114,Down and Out,Ares_Wang12333,1.0,477963.6,371242.4,ERANGEL,2U4GBNA0Ymkftyau6Av9xdA4QmGtUC3doKzOLyUp5wwLSkyaC0eJXtC9uBl7Mzmx,1700.0,Vashx,2.0,493186.1,384427.5,True,1
375,1847,Down and Out,Blesstfup,1.0,661589.5,465149.0,ERANGEL,2U4GBNA0Ymmj5ChhNizFBQNzal-aacFtZr3MhwiNw8qBDJBRobgDHZqOnyiohGR6,1955.0,UrbanSnake,2.0,658512.8,461169.9,True,1
389,2503,Kar98k,Mr--666,1.0,279281.6,475944.5,ERANGEL,2U4GBNA0Yml5t9opndGwDeKjNoARfVrCVQIWxSji9WqktJfXvvA7eZryQpYWuuxM,1798.0,17jigeni17,2.0,271677.0,484179.1,True,1
391,6468,AKM,soieowl,1.0,276149.4,253948.6,ERANGEL,2U4GBNA0YmlMqUy26Nx8Rmm3UjhNVwg6rFwjs4FGnjp83bGmwSELWoDpqkrt6FPZ,1877.0,NirvashEnd,2.0,274127.3,254196.3,True,1
397,1858,DP-28,MysterE,1.0,664297.3,465228.6,ERANGEL,2U4GBNA0Ymmj5ChhNizFBQNzal-aacFtZr3MhwiNw8qBDJBRobgDHZqOnyiohGR6,1955.0,BYCBOT,2.0,659327.7,460044.7,True,1
