,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
5790,UMP9,ice-cklt6,15.0,424128.7,325288.9,ERANGEL,2U4GBNA0Ymn4I819TCOZUmrkpodZU34WCjWNhi7ynOl4mSWUtxFC8Gi1FEtUufT-,860.0,BoxTrotSpy6,23.0,425468.4,326935.1
4483,SCAR-L,Fuzhongmemeda,17.0,522676.6,54262.8,MIRAMAR,2U4GBNA0Ymmc9iQSXPdXmsArOhTIR61JwcNH4n6Z2nEAsPYw5VWoAVcAEkqWJV2_,199.0,MyHouseIsWood,64.0,510509.8,58635.55
2177,Tommy Gun,BestNick,3.0,465582.6,650823.0,ERANGEL,2U4GBNA0YmlcJd06MAp1d4Q7M5Yy4PYrahIr2JBT9uhhXk6gHSEcIBPisz7z3coU,202.0,TheRealSaladino,69.0,464490.2,650621.4
2739,S1897,Trigoli,10.0,364191.1,407139.1,ERANGEL,2U4GBNA0Ymk7iBtHUx6-_dZyjrvKVPMSmiZKzhovvtZ6clOi9vMdQGJIxPEv4HO6,758.0,LastHitBandit,20.0,364524.2,406926.6
3265,Grenade,t0nyZ,1.0,641855.9,186037.1,ERANGEL,2U4GBNA0YmlsmhWI_uk1n90_H682IZo6muWLdaUTCs05xIT-j7x0Uqea8n6G4q4i,1816.0,ChinaboyPKK,3.0,636725.5,184335.4
1467,S1897,MuQing-3254,7.0,362231.8,412706.3,ERANGEL,2U4GBNA0YmltdlEYw5AmXmDdUW5i2vyhBrlQeNFBgmYyzDpsc787A_hENiNlx6I5,263.0,Vaefukua,25.0,362547.6,412949.2
6538,Hit by Car,Ciprianistic,3.0,537693.8,347750.8,ERANGEL,2U4GBNA0YmlMqUy26Nx8Rmm3UjhNVwg6rFwjs4FGnjp83bGmwSELWoDpqkrt6FPZ,434.0,llzsq,26.0,537281.9,347623.4
6060,Down and Out,Nicolas6Neng,1.0,715317.9,451552.7,ERANGEL,2U4GBNA0Yml6y7HS5CbbbGNCVA8W-Eq9itS5ANu7VhQLdw36LQo9OXoLiY9pzymO,423.0,gaojunp107e,33.0,715286.1,451245.3
4934,Down and Out,taijirigala,4.0,173546.4,542876.1,ERANGEL,2U4GBNA0YmlB0q86A8fUl8JfLjpaTo2OMObs4sDXSwl_z8yF6lNkr8gfwHqYnJQJ,510.0,xXSeaCow182Xx,4.0,173564.2,542797.6
4512,S12K,Deathstalker1010,60.0,434136.5,281645.8,MIRAMAR,2U4GBNA0Ymmc9iQSXPdXmsArOhTIR61JwcNH4n6Z2nEAsPYw5VWoAVcAEkqWJV2_,222.0,xXstoneCode200Xx,61.0,434691.2,281514.5
5993,Kar98k,EVEN1982,1.0,367673.9,586061.0,ERANGEL,2U4GBNA0YmkjIvgdQAAyeZk0ZnYEpNtpJODztcsiH83QHqhfGTN1jSPP1lzCb4Jv,1003.0,Xiaozhanggenban,9.0,358203.5,574146.6
5332,M249,Saktitama,9.0,478886.3,298349.1,ERANGEL,2U4GBNA0YmnNOKktVk9Qv5ZxUnnxXk1-kUI03yF8vbYyzdTaiA36TPjP5mJ01mkE,701.0,ImJuustCrazy,43.0,479380.2,299166.2
6544,UMP9,wahahaawdawd,22.0,198460.8,523471.5,ERANGEL,2U4GBNA0YmlMqUy26Nx8Rmm3UjhNVwg6rFwjs4FGnjp83bGmwSELWoDpqkrt6FPZ,701.0,wcmlgb915,17.0,197122.4,523302.0
1877,Punch,Nhdzi_TV,14.0,382543.6,485360.3,ERANGEL,2U4GBNA0Ymmj5ChhNizFBQNzal-aacFtZr3MhwiNw8qBDJBRobgDHZqOnyiohGR6,711.0,HowTo_Pirouette,20.0,382624.7,485401.5
3571,M416,Kai5672,11.0,179320.5,304712.8,ERANGEL,2U4GBNA0Ymn_5YOdbJcWM3qIjn0S_Z3W84sUWo36iLxk6As1P0O7BB5It8tPY8Ss,803.0,MoonP1nk,13.0,179091.0,304776.1
4834,Kar98k,fary2,1.0,352478.6,611336.7,ERANGEL,2U4GBNA0YmnNaxE1IF0R8b5H-SePLyeMyyIrtEPySH7IYKSofTRFs441FMT93y3K,1704.0,TanGuiXi,4.0,337587.2,626167.8
3585,Micro UZI,WDR6877,10.0,550210.7,240191.0,ERANGEL,2U4GBNA0Ymn_5YOdbJcWM3qIjn0S_Z3W84sUWo36iLxk6As1P0O7BB5It8tPY8Ss,342.0,Douyu_3576930,23.0,549941.4,240758.8
6414,M16A4,Roy-Keane,8.0,574574.9,380410.3,ERANGEL,2U4GBNA0YmkS2eQx4J61Re6-zCya9AIQhDP8XNRgyCo4C5X8Zlz4-7V-PwsTAINp,122.0,qaz1314520,39.0,574353.3,379789.3
3879,M16A4,Cedric-W,22.0,373145.4,359042.0,ERANGEL,2U4GBNA0YmkDstXLYHK5B7Jq1QzLWJ-HeVx4TzVSkV3lpPTNiKcc1WXBp3-XkQZp,276.0,Aka-DreamZ,35.0,369313.2,361265.1
4857,Punch,Decade69,14.0,409933.6,640424.3,ERANGEL,2U4GBNA0YmlB0q86A8fUl8JfLjpaTo2OMObs4sDXSwl_z8yF6lNkr8gfwHqYnJQJ,134.0,ZhuBeggy,23.0,410010.6,640343.0
1768,Bluezone,,,,,ERANGEL,2U4GBNA0YmkAe0g5_7ZyvVWZ4D_2Tmvl41s103OU7KHR-uOozlEs7lUSiNOVk9qD,2179.0,jx_yang,3.0,629977.9,606129.6
2184,S12K,jinhai,34.0,569550.0,381204.2,ERANGEL,2U4GBNA0YmlcJd06MAp1d4Q7M5Yy4PYrahIr2JBT9uhhXk6gHSEcIBPisz7z3coU,206.0,purple_gorilla,68.0,569009.6,381348.7
483,Micro UZI,JackieCOC,5.0,354025.6,406654.9,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,215.0,masami-_-,76.0,353412.0,407891.8
5298,Grenade,NoobhunterNo1,12.0,472529.7,360785.9,ERANGEL,2U4GBNA0Yml20grMM4GD62e8xWDcMhw91ITl2fbDm2AIPx37-WAHyGXsHqsEJgmU,742.0,Zhj870619,20.0,468400.4,361193.5
110,Down and Out,SuperViolent,12.0,399952.0,179802.0,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,331.0,#unknown,18.0,402157.0,188203.3
5062,AKM,Spyr0s,3.0,594678.8,347800.3,MIRAMAR,2U4GBNA0YmnU2RHKXlhPQO71mPuk11VrC-gSWzsu-m9L5fsK__Ju6p3_SDIwWRHK,649.0,XueCoke,23.0,594014.0,348540.9
