,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
47177,M16A4,GGLYF,22.0,400022.3,295580.2,ERANGEL,2U4GBNA0Yml8F2o1PLaHb3KolVqzjZN6gXsrmeeoLeWkCl8rvpZ8z0aPMDcYaVJ2,265,Bor-alex,14.0,398371.9,292362.1
24563,Grenade,jingxin123,16.0,192759.0,525370.8,ERANGEL,2U4GBNA0YmnNV2s8PoWc2jpsQJVw3pQ47CwDmz9vA_BXiYty7KAdLB9rTFcrojZ3,771,jingxin123,16.0,192759.0,525370.8
27043,M416,Drawapicture,1.0,555887.7,624445.8,ERANGEL,2U4GBNA0YmmGlf8ckwqZxHLZe819N4MKDumwmv2SStbaqH9HOk4FlQSekooRtlfr,1359,KongHuiAAA,7.0,554486.6,622916.3
45669,Mini 14,LeeHarvey008,13.0,615122.1,293087.4,ERANGEL,2U4GBNA0Ymkal9BBUTGcxakOhySYvMFLoV6R5zIizVJAv2W0v0FeNX4IXKjAd9Ks,778,LPCustom,48.0,616420.3,302274.0
13509,SCAR-L,dislovemt,8.0,355468.9,407291.1,ERANGEL,2U4GBNA0YmkYaYqpEFhYtdcza4P1iUWr9XcBsyBTdD0kUPMDXuj9-Gl4JhbrhKr4,286,Huangdeping1214,36.0,354883.0,405630.2
18431,M416,Bestkengbi,5.0,349910.2,429645.8,ERANGEL,2U4GBNA0Yml0UwDmxAYUHD9jGl86cWB2PS3Vb5YcAcT5tvgdJ6kuyToIYDaXkkxM,1350,stanimal301,19.0,365171.2,424072.0
43074,M416,HARD4YOU,40.0,332356.0,521034.2,ERANGEL,2U4GBNA0YmmbqKfDDw4cDzkPcY86d_7asa2V-RpQhTdegAMi6QcCg2Gi_07MHe00,654,darknish,48.0,355240.5,513050.6
14857,Uaz,187cmmm,10.0,448431.8,282852.3,ERANGEL,2U4GBNA0YmmTnSDr155_xCZqe6KBDoDHuucFqg0Xu_D60NJ8zdVXAgXqI5_gDy0S,900,Jabi3r,9.0,462598.3,277437.2
32251,M16A4,TeleTuV3y,4.0,466669.3,253561.5,MIRAMAR,2U4GBNA0YmlZbWWadv9oHeihrX_CnHdCQ-CKoHtN9RBYNx5ijDLebYS9iy6nlYh-,1689,AALITE,2.0,446265.2,249236.1
9868,Groza,yizhifeiduen,7.0,305924.5,348254.3,MIRAMAR,2U4GBNA0YmkFLnx7v1qJOXe27L8Ad0WzDI8KGJ8ps9zZJJL7jtqYTzyioV77Y2ll,1429,H8817503,8.0,308994.2,357240.2
44470,AKM,BoyManXg,8.0,335276.4,341256.9,ERANGEL,2U4GBNA0YmkvYueGsxiRh9Me6-V0bKqj0r3kAZtYve5KQnorhafiMXVZd_VyKcAn,1043,hhkkb,15.0,334377.8,342248.6
36361,Kar98k,SKT_EVAN,1.0,269697.8,466341.8,ERANGEL,2U4GBNA0YmkwMVJsM2Muxugj3XxA_SVJgzhOn7Xxt3AgJr0uCdl1T2p9hT_E7Voq,1247,DAKEGG,9.0,260009.5,466525.7
510,AKM,Arnoxiong,3.0,283391.0,400400.2,ERANGEL,2U4GBNA0YmlixJ6lhgS6xB2tqdo7SEhoYyHlVu18akkAzLToAhG5PWG043VgsrJm,666,Johnnie_Nutts,53.0,283043.8,400207.9
11408,AUG,BSS1991,1.0,683485.8,319953.7,MIRAMAR,2U4GBNA0YmnvNvisAv2vEWjvk5hQwUunTU-wwxsNuGnzJQUIChL9WS9l8HAPn6NL,1796,ZZZZ1117,5.0,685670.7,312340.2
36012,S1897,WucaOne,2.0,432999.4,637741.6,ERANGEL,2U4GBNA0YmkogGflTWHEjmSiSodHpyLzHRKjMgjaat1wXpLgLACxYDf_CqLSQ37n,167,Mr_Lash,45.0,433844.5,638553.6
42403,M416,ThanatosRock,1.0,317186.4,212898.8,ERANGEL,2U4GBNA0Ymno9oMIkYXZJiCnxONImYoojrcPA3RbPXgDcAlRNCEFTaobcbU9jKNP,1769,zhouyiwen416,2.0,315704.3,214652.1
34794,DP-28,TQ19941003,56.0,429452.8,636693.8,ERANGEL,2U4GBNA0YmlBjbREKSaCBE3aW6G-IPgJUZIQg6LOki3TFeKLBCsshGBhAe7s-AEM,127,wanshangchiji369,83.0,429466.9,637688.3
7204,AKM,185799667,25.0,507561.5,381937.0,MIRAMAR,2U4GBNA0YmmZIEjplykShOMA4Mm0oQw7-HntKRiIq1vzO0wMv_EFr4T995gReXAz,655,Party_Palace,19.0,507814.6,381429.6
40559,DP-28,kdawn1810,5.0,607803.3,370891.5,ERANGEL,2U4GBNA0YmnhliBVTNCs31iTcEfEOMdjyMCiMyM3RAcZhXA7SS9ELhBzMAhpjTgU,942,hn770512,23.0,606656.2,370138.9
3729,Tommy Gun,JieLeee,25.0,327746.6,354671.2,MIRAMAR,2U4GBNA0Yml0XDizIVK4IxDWB75tIG-FBMzmyEP_fBUj1UAIBJN9VCG7X49NaJ0W,98,B8bb60,27.0,329643.3,356153.9
20023,S1897,Kam77Kam,11.0,646159.7,462324.4,MIRAMAR,2U4GBNA0YmmztIv6c0uZRoiUjc7cyVLXzJ_KNfoHQvBQE7ArszV7SFagzicK2OZv,477,lczero,13.0,644953.6,461700.2
9109,VSS,MercifulMeme,13.0,378417.9,122320.5,ERANGEL,2U4GBNA0Ymkb1KrhKX24ib6gPLRR5mUpFTXoBapMqjHLk1F8hhUk4lhZMkax26lV,128,Chung182,19.0,378238.5,122308.9
43969,Punch,wangtiancai11111,37.0,250051.5,579403.8,ERANGEL,2U4GBNA0YmnmqLbO-rvtVh8yotWWr6qPegyMqykNyg8_HeNUJE4HzoKyIbt8229D,128,AJiao007,98.0,0.0,0.0
9142,Down and Out,Killfeilong,7.0,410363.1,458300.5,ERANGEL,2U4GBNA0Ymkb1KrhKX24ib6gPLRR5mUpFTXoBapMqjHLk1F8hhUk4lhZMkax26lV,1057,melt0731,14.0,409866.3,461131.9
12052,AKM,weige080,4.0,613650.8,497221.5,ERANGEL,2U4GBNA0Ymm7hm5L58R7Liu-mJ8wvV923Ole2Oq34cu-DdTCB6MS11hBjMe4x6sV,154,JDYL,48.0,613295.6,497725.9
28437,UMP9,Densememe,42.0,372484.4,412864.3,ERANGEL,2U4GBNA0YmkHkHlMO295wI8pZ6b1PFlGsEJvuSeU2ZwXxA6VvG2ZTyxKg5VCERyg,146,Shark-_26,48.0,371943.6,413317.5
