,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,winner,rating_group
12066991,SCAR-L,heixiu-a,5.0,417944.9,172970.5,ERANGEL,2U4GBNA0YmlskytiYIsK--D-bIvw4rP_XobAB3CmYK4bwqAaBq7k04blpwrR3-CD,1692,mengdyyyy,2.0,421400.5,189166.5,True,1
10873973,Down and Out,mountain_G,7.0,236935.1,545517.6,ERANGEL,2U4GBNA0YmnLBlx2Q8bT7FEv7yejcTjO2WNwJufXCKN_OdPr-zGpt4oxHUHR0GYk,1524,DeicideSlayer,2.0,241810.1,537987.0,True,1
3224412,Down and Out,Fancy9527,1.0,380125.1,652250.0,ERANGEL,2U4GBNA0Ymksjm5LZC1avl8Un-FU7En0coDPaUAnUQOjpoWAjWBiTR9_f8cq--7R,1888,SXF2651,2.0,377241.2,651802.4,True,1
2822594,Down and Out,Hoogian,1.0,442269.1,402836.4,MIRAMAR,2U4GBNA0YmkGMPRZRRz2vPX-WdxjJSe80gXpVVFuow6qt0N4beaLzC3G8W0i_yq_,1918,xiaohongmao1113,2.0,448676.2,402823.6,True,1
1645754,Mk14,pYd_dev1ce,1.0,271586.2,218722.3,ERANGEL,2U4GBNA0YmnmxEWfmGqErjlYTWeojp3EcNuDqbUikrn5A50qAuoF_gDhcMS-7Twn,1793,RegisKillbin,2.0,283027.1,225649.0,True,1
5198010,M416,Sfugodd,1.0,262087.4,544511.7,ERANGEL,2U4GBNA0YmnWZUvOtKnb6a2lIgBen-A7VWh9XVNEMkX0YH_hWzpVGl74d0LPt_t3,1870,XiaGe_NB,2.0,263264.4,548183.2,True,1
3996030,Kar98k,babadebabadebaba,3.0,602151.1,443426.1,ERANGEL,2U4GBNA0YmlnAPdIl3D9dHm7XV7ewJOHxWb-t9BIed2f_YRiUGKGPxm3DeOqZdZG,1520,TODDYSON13,2.0,611848.6,425345.3,True,1
10700886,Bluezone,,,,,ERANGEL,2U4GBNA0YmnGHzd14juENEqHPwsMzzrLGHJZpo1rdB6oe0CHX_JuajszJ9uz6Qk0,1777,Dauz,2.0,657523.4,358834.6,True,1
6922292,Down and Out,AresJony,1.0,510974.0,169162.0,ERANGEL,2U4GBNA0YmlWbjrYiyTqQFYgYcFlC9HwIcnXAVqC4ZV1-PE9JUjAMUKlz07XkzWf,1772,Big6Shing,2.0,512257.6,171888.1,True,1
11765532,Down and Out,MMyff,1.0,567450.9,347834.4,ERANGEL,2U4GBNA0YmmiqVl3zO5IC0UT2FZB5haWN16uKKe34U_Acau-0zICfDfGssDM6ay6,1635,DarkAgony,2.0,571471.2,338886.4,True,1
12077513,Down and Out,K1ngJ1ng,1.0,592342.8,383049.2,MIRAMAR,2U4GBNA0YmkIhqRaKLlVrgK7EqTJHeMf_iN28sNZxRtM0XEtnVRq3dY2auLTAFs1,1753,ziAzan,2.0,586829.6,387708.4,True,1
3758052,M416,Tw33der,1.0,358081.0,124499.4,ERANGEL,2U4GBNA0YmleO6rM5ne3AZFLhpr7REdUTVa_Ay3KVLErxdWSu4wyhxHj7rivbuem,1640,Tonny_Hawkeye,2.0,370207.6,120403.6,True,1
9425975,Down and Out,Chukutin,1.0,235563.0,224291.9,ERANGEL,2U4GBNA0YmldK5bwkfKwRrqman3RKlbC8Df08JWVWwvKBmHiaX8-gzbJBmFx4iDK,1589,Frildo,2.0,230443.5,222300.7,True,1
